"AZ Martinez","AZ","Sparkle","Cebu","A","22","b","1"
"Bianca de Vera","Bianca","Star Magic","Taguig","B","23","b","2"
"Brent Manalo","Brent","Star Magic","Tarlac","B","27","b","3"
"Dustin Yu","Dustin","Star Magic","Quezon City","A","23","b","4"
"Emilio Daez","Emilio","Star Magic","Pasig","B","25","b","5"
"Esnyr Ranollo","Esnyr","Star Magic","Davao del Sur","B","23","b","6"
"Josh Ford","Josh","Star Magic","United Kingdom","B","20","b","7"
"Klarisse de Guzman","Klarisse","Star Magic","Rizal","B","33","-","8"
"Michael Sager","Michael","Sparkle","Marinduque","A","22","-","9"
"Mika Salamanca","Mika","Sparkle","Pampanga","A","24","-","10"
"Ralph de Leon","Ralph","Star Magic","Cavite","B","24","-","11"
"River Joseph","River","Star Magic","Muntinlupa","B","26","-","12"
"Shuvee Etrata","Shuvee","Sparkle","Cebu","A","23","-","13"
"Vince Maristela","Vince","Sparkle","Rizal","A","25","-","14"
"Will Ashley","Will","Sparkle","Cavite","A","22","-","15"
"Xyriel Manabat","Xyriel","Star Magic","Rizal","B","21","-","16"
"Charlie Fleming","Charlie","Sparkle","Cagayan de Oro","A","16","e","17"
"Kira Balinger","Kira,"Star Magic","Cavite","B","24","e","18"
"AC Bonifacio","AC","Star Magic","Canada","B","22","e","19"
"Ashley Ortega","Ashley","Sparkle","San Juan","A","26","e","20"
